"","id","Researcher","Affilitation","Citation","Instrument","Analysis","Polymer","Magnification","Color","Morphology","SizeFraction","Dimension"
"31","1rZgpSVXt5UwXaVaHJYQnCS-zz_QZB8Qa","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Blue","Fiber","1-20 um","Nominal"
"32","1NHE2VsXYxr0xczuOUIgpOVTfyrHZ-Tsa","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","20-212 um","Nominal"
"33","1rCEJG7j6lmte0xfEdKNgoXyNTXoZ5RXg","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","1-20 um","Nominal"
"34","1s46Y2mZi2_Ke2bUSSjEwLNVQIPuAOHqS","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","1-20 um","Nominal"
"35","1NFmfo2nUznuG4n10GsD-gH3IC0DnAecB","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Film","20-212 um","Nominal"
"36","1su2dZHGNDp9IQREA2_QLlMWvo70NEM8C","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Black","Fragment","1-20 um","Nominal"
"37","1s1L3DbqMQpxzDQIQHAogf01jjjloFSYN","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","1-20 um","Nominal"
"38","1pKk-BkEwRYMQIfLB2Yq5PMOe08oML44Z","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","1-20 um","Nominal"
"39","1qLL8vbUL-RD5dHSPpFudDG9sDgrRkWzr","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","1-20 um","Nominal"
"40","1qMaurOguA0lDmUUbUcW23z9sw_lfLy1q","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","1-20 um","Nominal"
"41","1p2Mxxe7dIKriSVenx8gS4snfOcVtTreL","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Green","Fiber","1-20 um","Nominal"
"42","1q725pLTZ9QYtY2JF5QJ4xKfCfBQud15E","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","1-20 um","Nominal"
"43","1qog1GzKPlmSK-uxV763GeHbvM0Cgt-K2","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Blue","Fiber","1-20 um","Nominal"
"44","1quwUbpYdq-VMhZ-AfZSrS6JMpuRj7mqM","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","1-20 um","Nominal"
"45","1p5KkFzmp3r65C35LtI0Cm21R4K_35KF7","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","1-20 um","Nominal"
"46","1r62ULZWTuNdne51uXOIoXTOIm_hhbI9-","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","1-20 um","Nominal"
"47","1p62tOZuQezzzrntTJfYOjt3Fgv---uAi","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","1-20 um","Nominal"
"48","1qVYECLUOfq0zPkLmDVLha5XmgcgBiP-K","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","1-20 um","Nominal"
"49","1orRgPmxfFzTuKcABuOCUKeU9hCUnhoH1","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","1-20 um","Nominal"
"50","1qtPU0zgK9hdgolqSzUsXekU6-G-VQMrO","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","1-20 um","Nominal"
"51","1r439HHq_VfwiX36xHj65biYw1W6NJdWR","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fragment","1-20 um","Nominal"
"52","1q6v72AH7lbrR68gcfIlyr0gpXxdyg6oD","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Blue","Fiber","1-20 um","Nominal"
"53","1oyqn6tlO1GZ54RGLSZREtobL7hSCB6sm","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Clear","Fiber","1-20 um","Nominal"
"54","1qMmAtl3CPuyMJZvDAPZfCfTg-yk1NoGC","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","White","Fragment","1-20 um","Nominal"
"55","1qpWCEoGky2I42KehuszNEh1yhP-Rd24v","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Blue","Fiber","1-20 um","Nominal"
"56","1p8RYkLnfxYhLfYnOoSh62hBMBX1l4s4j","Charles Moore and Gwen Lattin","Moore Institute for Plastic Pollution Research","Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research","Nikon SMZ1270","2020",NA,"60-80x","Blue","Fiber","1-20 um","Nominal"
