SampleID,SubsampleID,Size,Percentage
C_Sand.10.1016/j.scitotenv.2021.150545,C_Sand_OTHERS.10.1016/j.scitotenv.2021.150545,500 um-1 mm,0.02 particles
Nethen_10.1016/j.scitotenv.2019.02.431,N/A,50-100 um,N/A
Holdorf_10.1016/j.scitotenv.2019.02.431,N/A,50-100 um,N/A
Aqua_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
Auqafina_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
Bisleri_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
Dasani_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
E-Pura_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
Evian_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
PlasticGerosteiner_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
GlassGerosteiner_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
Minalba_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
NestlePureLife_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
SanPellegrino_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
Wahaha_10.1016/j.scitotenv.2019.02.431,N/A,20-100 um,N/A
SingleUsePET_10.1016/j.scitotenv.2019.02.431,N/A,1-10 um,N/A
ResuablePET_10.1016/j.scitotenv.2019.02.431,N/A,1-50 um,N/A
GlassBottles_10.1016/j.scitotenv.2019.02.431,N/A,1-50 um,N/A
SingleUsePlastic_10.1016/j.scitotenv.2019.02.431,N/A,5-100 um,N/A
ReturnablePlastic_10.1016/j.scitotenv.2019.02.431,N/A,5-100 um,N/A
GlassBottles2_10.1016/j.scitotenv.2019.02.431,N/A,5-100 um,N/A
BeverageCartons_10.1016/j.scitotenv.2019.02.431,N/A,5-100 um,N/A
MineralWater_SingleUsePET_10.1016/j.impact.2021.100302,N/A,<1.5 um,53.6%
MineralWater_SingleUsePET_10.1016/j.impact.2021.100302,N/A,1.5-5 um,44.7%
MineralWater_SingleUsePET_10.1016/j.impact.2021.100302,N/A,5-10 um,1.7%
MineralWater_SingleUsePET_10.1016/j.impact.2021.100302,N/A,>10 um,0%
MineralWater_ReusablePET_10.1016/j.impact.2021.100302,N/A,<1.5 um,47.0%
MineralWater_ReusablePET_10.1016/j.impact.2021.100302,N/A,1.5-5 um,48.4%
MineralWater_ReusablePET_10.1016/j.impact.2021.100302,N/A,5-10 um,2.9%
MineralWater_ReusablePET_10.1016/j.impact.2021.100302,N/A,>10 um,1.7%
MineralWater_Glass_10.1016/j.impact.2021.100302,N/A,<1.5 um,16.4%
MineralWater_Glass_10.1016/j.impact.2021.100302,N/A,1.5-5 um,61.4%
MineralWater_Glass_10.1016/j.impact.2021.100302,N/A,5-10 um,15.4%
MineralWater_Glass_10.1016/j.impact.2021.100302,N/A,>10 um,6.9%
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.1_10.1016/j.impact.2021.100302,1-5 um,1178 particles/L
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.1_10.1016/j.impact.2021.100302,5-10 um,785 particles/L
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.1_10.1016/j.impact.2021.100302,10-50 um,228 particles/L
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.2_10.1016/j.impact.2021.100302,1-5 um,1178 particles/L
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.2_10.1016/j.impact.2021.100302,5-10 um,785 particles/L
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.2_10.1016/j.impact.2021.100302,10-50 um,228 particles/L
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.3_10.1016/j.impact.2021.100302,1-5 um,1178 particles/L
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.3_10.1016/j.impact.2021.100302,5-10 um,785 particles/L
RawDrinkingWater_10.1016/j.impact.2021.100302,RawDrinkingWater.3_10.1016/j.impact.2021.100302,10-50 um,228 particles/L
TapWater_10.1016/j.impact.2021.100302,N/A,1-50 um,31-100%
RawWater_10.1016/j.impact.2021.100302,N/A,1-5 um,3760 particles/L
RawWater_10.1016/j.impact.2021.100302,N/A,5-10 um,1520 particles/L
RawWater_10.1016/j.impact.2021.100302,N/A,10-50 um,731 particles/L
TreatedDrinkingWater2_10.1016/j.impact.2021.100302,N/A,1-5 um,793 particles/L
TreatedDrinkingWater2_10.1016/j.impact.2021.100302,N/A,5-10 um,136 particles/L
TreatedDrinkingWater2_10.1016/j.impact.2021.100302,N/A,10-50 particles/L,1 particles/L
MineralWaterPET_10.1016/j.impact.2021.100302,N/A,1-10 um,N/A
Mintenig_10.1007/s11783-021-1492-5,N/A,50-150 um,N/A
Sarkar_10.1007/s11783-021-1492-5,N/A,> 25um,N/A
Johnson_10.1007/s11783-021-1492-5,N/A,> 25um,N/A
