SampleID,SubsampleID,Morphology,Percentage
20171021 3214GH.10.3389/fchem.2018.00407,N/A,Film,14%
20171021 3214GH.10.3389/fchem.2018.00407,N/A,Foam,5%
20171103 2106WF.10.3389/fchem.2018.00407,N/A,Fragment,65%
20171103 2106WF.10.3389/fchem.2018.00407,N/A,Fibers,13%
20171103 2106WF.10.3389/fchem.2018.00407,N/A,Pellet,3%
20171103 2106WF.10.3389/fchem.2018.00407,N/A,Film,14%
20171103 2106WF.10.3389/fchem.2018.00407,N/A,Foam,5%
WTP1_Treated.10.1016/j.sciotenv.2018.08.178,N/A,fragments,N/A
WTP1_Treated.10.1016/j.sciotenv.2018.08.178,N/A,shperical,N/A
WTP1_Treated.10.1016/j.sciotenv.2018.08.178,N/A,fibers,N/A
WTP2_Treated.10.1016/j.sciotenv.2018.08.178,N/A,fragments,N/A
WTP2_Treated.10.1016/j.sciotenv.2018.08.178,N/A,shperical,N/A
WTP2_Treated.10.1016/j.sciotenv.2018.08.178,N/A,fibers,N/A
WTP3_Treated.10.1016/j.sciotenv.2018.08.178,N/A,fragments,N/A
WTP3_Treated.10.1016/j.sciotenv.2018.08.178,N/A,shperical,N/A
WTP3_Treated.10.1016/j.sciotenv.2018.08.178,N/A,fibers,N/A
1.http://dce2.au.dk/pub/SR291.pdf ,1a.http://dce2.au.dk/pub/SR291.pdf ,fibers,86%
1.http://dce2.au.dk/pub/SR291.pdf ,1a.http://dce2.au.dk/pub/SR291.pdf ,fragments,10%
1.http://dce2.au.dk/pub/SR291.pdf ,1a.http://dce2.au.dk/pub/SR291.pdf ,films,3%
1.http://dce2.au.dk/pub/SR291.pdf ,1b.http://dce2.au.dk/pub/SR291.pdf ,fibers,72%
1.http://dce2.au.dk/pub/SR291.pdf ,1b.http://dce2.au.dk/pub/SR291.pdf ,fragments,28%
2.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,78%
2.http://dce2.au.dk/pub/SR291.pdf ,N/A,fragments,6%
2.http://dce2.au.dk/pub/SR291.pdf ,N/A,films,6%
3.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,100%
4.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,62%
4.http://dce2.au.dk/pub/SR291.pdf ,N/A,fragments,7%
4.http://dce2.au.dk/pub/SR291.pdf ,N/A,films,31%
5.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,86%
5.http://dce2.au.dk/pub/SR291.pdf ,N/A,fragments,14%
6.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,90%
6.http://dce2.au.dk/pub/SR291.pdf ,N/A,fragments,10%
7.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,100%
8.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,67%
8.http://dce2.au.dk/pub/SR291.pdf ,N/A,fragments,23%
8.http://dce2.au.dk/pub/SR291.pdf ,N/A,films,10%
9.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,84%
9.http://dce2.au.dk/pub/SR291.pdf ,N/A,fragments,8%
9.http://dce2.au.dk/pub/SR291.pdf ,N/A,films,8%
10.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,100%
11.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,100%
12.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,74%
12.http://dce2.au.dk/pub/SR291.pdf ,N/A,fragments,26%
13.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,100%
14.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,100%
15.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,74%
15.http://dce2.au.dk/pub/SR291.pdf ,N/A,fragments,26%
16.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,70%
16.http://dce2.au.dk/pub/SR291.pdf ,N/A,fragments,30%
17.http://dce2.au.dk/pub/SR291.pdf ,N/A,fibers,92%
17.http://dce2.au.dk/pub/SR291.pdf ,N/A,fragments,8%
V.10.1016/j.watres.2020.11.6519,N/A,fibers,19%
V.10.1016/j.watres.2020.11.6519,N/A,fragments,81%
BJP.10.1016/j.watres.2020.11.6519,N/A,fibers,19%
BJP.10.1016/j.watres.2020.11.6519,N/A,fragments,81%
BJH.10.1016/j.watres.2020.11.6519,N/A,fibers,19%
BJH.10.1016/j.watres.2020.11.6519,N/A,fragments,81%
BOP.10.1016/j.watres.2020.11.6519,N/A,fibers,19%
BOP.10.1016/j.watres.2020.11.6519,N/A,fragments,81%
BOH.10.1016/j.watres.2020.11.6519,N/A,fibers,19%
BOH.10.1016/j.watres.2020.11.6519,N/A,fragments,81%
C.10.18520/cs/v117/i11/1874-1879,N/A,fibers,N/A
C.10.18520/cs/v117/i11/1874-1879,N/A,fragments,N/A
B1.10.18520/cs/v117/i11/1874-1879,N/A,fibers,N/A
B1.10.18520/cs/v117/i11/1874-1879,N/A,fragments,N/A
B2.10.18520/cs/v117/i11/1874-1879,N/A,fibers,N/A
B2.10.18520/cs/v117/i11/1874-1879,N/A,fragments,N/A
B3.10.18520/cs/v117/i11/1874-1879,N/A,fibers,N/A
