DOI,Sample_ID,Subsample_ID,Location,Source,Date,Concentration,Concentration_Units
10.1016/j.sciotenv.2018.08.178,Holdorf.3.10.1016/j.sciotenv.2018.08.178,N/A,"Holdorf, Germany",Tap water,N/A,3,particles/m3
10.1016/j.sciotenv.2018.08.178,Holdorf.4.10.1016/j.sciotenv.2018.08.178,N/A,"Holdorf, Germany",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Grossenkneten.1.10.1016/j.sciotenv.2018.08.178,N/A,"Grossenkneten, Germany",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Grossenkneten.2.10.1016/j.sciotenv.2018.08.178,N/A,"Grossenkneten, Germany",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Grossenkneten.3.10.1016/j.sciotenv.2018.08.178,N/A,"Grossenkneten, Germany",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Grossenkneten.4.10.1016/j.sciotenv.2018.08.178,N/A,"Grossenkneten, Germany",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Sandelermoens.1.10.1016/j.sciotenv.2018.08.178,N/A,"Sandelermoens, Germany",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Sandelermoens.2.10.1016/j.sciotenv.2018.08.178,N/A,"Sandelermoens, Germany",Tap water,N/A,1,particles/m3
10.1016/j.sciotenv.2018.08.178,Sandelermoens.3.10.1016/j.sciotenv.2018.08.178,N/A,"Sandelermoens, Germany",Tap water,N/A,1,particles/m3
10.1016/j.sciotenv.2018.08.178,Sandelermoens.4.10.1016/j.sciotenv.2018.08.178,N/A,"Sandelermoens, Germany",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Thuelsfelde.1.10.1016/j.sciotenv.2018.08.178,N/A,"Thuelsfelde, Germany",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Thuelsfelde.2.10.1016/j.sciotenv.2018.08.178,N/A,"Thuelsfelde, Germany",Tap water,N/A,1,particles/m3
10.1016/j.sciotenv.2018.08.178,Thuelsfelde.3.10.1016/j.sciotenv.2018.08.178,N/A,"Thuelsfelde, Germany",Tap water,N/A,1,particles/m3
10.1016/j.sciotenv.2018.08.178,Thuelsfelde.4.10.1016/j.sciotenv.2018.08.178,N/A,"Thuelsfelde, Germany",Tap water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Holdorf.Well 1.10.1016/j.sciotenv.2018.08.178,N/A,"Holdorf, Germany",Well water,N/A,2,particles/m3
10.1016/j.sciotenv.2018.08.178,Holdorf.Well 2.10.1016/j.sciotenv.2018.08.178,N/A,"Holdorf, Germany",Well water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.178,Holdorf.Well 3.10.1016/j.sciotenv.2018.08.178,N/A,"Holdorf, Germany",Well water,N/A,0,particles/m3
10.1016/j.sciotenv.2018.08.102,Mineral Water.1.10.1016/j.sciotenv.2018.08.178,N/A,Czech Republic,Mineral water from single use PET bottles,Nov 2017-Jan 2018,2649,particles/L
10.1016/j.sciotenv.2018.08.102,Mineral Water.2.10.1016/j.sciotenv.2018.08.178,N/A,Czech Republic,Mineral water from reusable PET bottles,Nov 2017-Jan 2018,4889,particles/L
10.1016/j.sciotenv.2018.08.102,Mineral Water.3.10.1016/j.sciotenv.2018.08.178,N/A,Czech Republic,Mineral water from glass bottles,Nov 2017-Jan 2018,6292,particles/L
10.1016/j.sciotenv.2018.08.102,WTP1_Treated.10.1016/j.sciotenv.2018.08.178,N/A,Czech Republic,Drinking water treatment plant,Nov 2017-Jan 2018,443,particles/L
10.1016/j.sciotenv.2018.08.102,WTP2_Treated.10.1016/j.sciotenv.2018.08.178,N/A,Czech Republic,Drinking water treatment plant,Nov 2017-Jan 2018,338,particles/L
10.1016/j.sciotenv.2018.08.102,WTP3_Treated.10.1016/j.sciotenv.2018.08.178,N/A,Czech Republic,Drinking water treatment plant,Nov 2017-Jan 2018,628,particles/L
http://dce2.au.dk/pub/SR291.pdf ,1.http://dce2.au.dk/pub/SR291.pdf ,1a.http://dce2.au.dk/pub/SR291.pdf ,Knabrostræde (1210 Kbh. K) ,Tap water,4/11/18,29,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,1.http://dce2.au.dk/pub/SR291.pdf ,1b.http://dce2.au.dk/pub/SR291.pdf ,Knabrostræde (1210 Kbh. K) ,Tap water,6/1/18,18,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,2.http://dce2.au.dk/pub/SR291.pdf ,N/A,Eriksgade (1708 Kbh. V) ,Tap water,4/11/18,16,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,3.http://dce2.au.dk/pub/SR291.pdf ,N/A,Blegdamsvej (2200 Kbh N) ,Tap water,5/2/18,12,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,4.http://dce2.au.dk/pub/SR291.pdf ,N/A,Ernie Wilkins Vej (2450 Kbh S.) ,Tap water,5/2/18,13,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,5.http://dce2.au.dk/pub/SR291.pdf ,N/A,Saunte Bygade (3100 Hornbæk) ,Tap water,4/4/18,7,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,6.http://dce2.au.dk/pub/SR291.pdf ,N/A,Kolibrivej (4040 Jyllinge) ,Tap water,5/28/18,11,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,7.http://dce2.au.dk/pub/SR291.pdf ,N/A,Østre Allé (4800 Nykøbing F) ,Tap water,6/8/18,10,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,8.http://dce2.au.dk/pub/SR291.pdf ,N/A,Ore Strandpark (4850 Stubbekøbing) ,Tap water,6/8/18,30,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,9.http://dce2.au.dk/pub/SR291.pdf ,N/A,Villestofteheg-net (5210 Odense NV) ,Tap water,5/26/18,12,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,10.http://dce2.au.dk/pub/SR291.pdf ,N/A,Lindehaven (5270 Odense) ,Tap water,5/26/18,13,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,11.http://dce2.au.dk/pub/SR291.pdf ,N/A,Dagmargade 6000 Odense C) ,Tap water,5/26/18,11,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,12.http://dce2.au.dk/pub/SR291.pdf ,N/A,Hjelmallé (6200 Aabenrå) ,Tap water,4/19/18,27,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,13.http://dce2.au.dk/pub/SR291.pdf ,N/A,Lundsbjerg Industrivej (6200 Aabenrå) ,Tap water,4/19/18,9,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,14.http://dce2.au.dk/pub/SR291.pdf ,N/A,Kværsløkke (6300 Gråsten),Tap water,4/19/18,4,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,15.http://dce2.au.dk/pub/SR291.pdf ,N/A,Aavangen (9575 Terndrup) ,Tap water,5/16/18,19,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,16.http://dce2.au.dk/pub/SR291.pdf ,N/A,Gunnar Clausens vej (8260 Viby J.) ,Tap water,5/16/18,17,particles/50 L
http://dce2.au.dk/pub/SR291.pdf ,17.http://dce2.au.dk/pub/SR291.pdf ,N/A,Kristtornvej (8200 Aarhus N.) ,Tap water,5/16/18,13,particles/50 L
10.1016/j.hazmat.2021.125708,S2.10.1016/j.hazmat.2021.125708,N/A,"Algard lakes, Norway",Drinking water treatment plant,N/A,9.7,ug/m3
10.1016/j.hazmat.2021.125708,S3.10.1016/j.hazmat.2021.125708,N/A,South-western Norway,Drinking water treatment plant,N/A,12.8,ug/m3
10.1016/j.hazmat.2021.125708,S4.10.1016/j.hazmat.2021.125708,N/A,South-western Norway,Drinking water treatment plant,N/A,6.1,ug/m3
10.1016/j.chemosphere.2021.132587,settled_10.1016/j.chemosphere.2021.132587,N/A,"Ontario, Canada",Drinking water treatment plant,N/A,11,particles/L
10.1016/j.chemosphere.2021.132588,filtered_10.1016/j.chemosphere.2021.132587,N/A,"Ontario, Canada",Drinking water treatment plant,N/A,11,particles/L
10.1016/j.chemosphere.2021.132589,clearwell_10.1016/j.chemosphere.2021.132587,N/A,"Ontario, Canada",Drinking water treatment plant,N/A,31,particles/L
10.1016/j.chemosphere.2021.132590,distribution_10.1016/j.chemosphere.2021.132587,N/A,"Ontario, Canada",Drinking water treatment plant,N/A,20,particles/L
10.1016/j.watres.2020.11.6519,V.10.1016/j.watres.2020.11.6519,N/A,"Skane, Sweeden",Drinking water treatment plant,N/A,N/A,N/A
10.1016/j.watres.2020.11.6519,BJP.10.1016/j.watres.2020.11.6519,N/A,"Skane, Sweeden",Drinking water treatment plant,N/A,N/A,N/A
10.1016/j.watres.2020.11.6519,BJH.10.1016/j.watres.2020.11.6519,N/A,"Skane, Sweeden",Drinking water treatment plant,N/A,N/A,N/A
10.1016/j.watres.2020.11.6519,BOP.10.1016/j.watres.2020.11.6519,N/A,"Skane, Sweeden",Drinking water treatment plant,N/A,N/A,N/A
10.1016/j.watres.2020.11.6519,BOH.10.1016/j.watres.2020.11.6519,N/A,"Skane, Sweeden",Drinking water treatment plant,N/A,N/A,N/A
10.1007/s11270-022-05649-y,1.10.1007/s11270-022-05649-y,N/A,"Yangtze River, China; Jailing River, China",River water; spiked filter water,N/A,1.8,g/L
10.1016/j.scitotenv.2021.152623,1.10.1016/j.scitotenv.2021.152623,N/A,"Geneva, Switzerland",Spiked drinking water,N/A,10,mg/L
10.18520/cs/v117/i11/1874-1879,C.10.18520/cs/v117/i11/1874-1879,N/A,"Chennai, India",Commercially available drinking water,N/A,6,particles/L
10.18520/cs/v117/i11/1874-1879,B1.10.18520/cs/v117/i11/1874-1879,N/A,"Chennai, India",Commercially available drinking water,N/A,5,particles/L
10.18520/cs/v117/i11/1874-1879,B2.10.18520/cs/v117/i11/1874-1879,N/A,"Chennai, India",Commercially available drinking water,N/A,5,particles/L
10.18520/cs/v117/i11/1874-1879,B3.10.18520/cs/v117/i11/1874-1879,N/A,"Chennai, India",Commercially available drinking water,N/A,5,particles/L
10.18520/cs/v117/i11/1874-1879,B4.10.18520/cs/v117/i11/1874-1879,N/A,"Chennai, India",Commercially available drinking water,N/A,5,particles/L
10.18520/cs/v117/i11/1874-1879,B5.10.18520/cs/v117/i11/1874-1879,N/A,"Chennai, India",Commercially available drinking water,N/A,2,particles/L
10.1016/j.scitotenv.2021.150545,A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PE.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,610,particles/L
10.1016/j.scitotenv.2021.150545,A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,1042.6,particles/L
10.1016/j.scitotenv.2021.150545,A_BioTreatment.10.1016/j.scitotenv.2021.150545,A_BioTreatment_PVC.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,560,particles/L
10.1016/j.scitotenv.2021.150545,A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PE.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,1186,particles/L
10.1016/j.scitotenv.2021.150545,A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PP.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,1489,particles/L
10.1016/j.scitotenv.2021.150545,A_Sedimentation.10.1016/j.scitotenv.2021.150545,A_Sedimentation_PVC.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,100.4,particles/L
10.1016/j.scitotenv.2021.150545,A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PE.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,353.2,particles/L
10.1016/j.scitotenv.2021.150545,A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PP.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,1721.2,particles/L
10.1016/j.scitotenv.2021.150545,A_Ozonation.10.1016/j.scitotenv.2021.150545,A_Ozonation_PVC.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,650,particles/L
10.1016/j.scitotenv.2021.150545,A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PE.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,271.2,particles/L
10.1016/j.scitotenv.2021.150545,A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PP.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,200.5,particles/L
10.1016/j.scitotenv.2021.150545,A_BAC.10.1016/j.scitotenv.2021.150545,A_BAC_PVC.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,200.5,particles/L
10.1016/j.scitotenv.2021.150545,A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PE.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,62.7,particles/L
10.1016/j.scitotenv.2021.150545,A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PP.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,774.1,particles/L
10.1016/j.scitotenv.2021.150545,A_Flocc.10.1016/j.scitotenv.2021.150545,A_Flocc_PVC.10.1016/j.scitotenv.2021.150545,N/A,Drinking water treatment plant,N/A,200.8,particles/L
