DOI,Sample_ID,Location,Source,Date,Concentration,Polymers,Size,Shape,Color
10.1016/j.sciotenv.2018.08.178,Thuelsfelde.1,"Thuelsfelde, Germany",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Thuelsfelde.2,"Thuelsfelde, Germany",Tap water,N/A,1 particles/m3,PVC,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Thuelsfelde.3,"Thuelsfelde, Germany",Tap water,N/A,1 particles/m3,PEST,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Thuelsfelde.4,"Thuelsfelde, Germany",Tap water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Holdorf.Well 1,"Holdorf, Germany",Well water,N/A,2 particles/m3,PE,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Holdorf.Well 2,"Holdorf, Germany",Well water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.178,Holdorf.Well 3,"Holdorf, Germany",Well water,N/A,0 particles/m3,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.102,Mineral Water.1,Czeck Republic,Mineral water from reusable plastic bottles,Nov 2017-Jan 2018,118 particles/L,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.102,Mineral Water.2,Czeck Republic,Mineral water from single use bottles,Nov 2017-Jan 2018,14 particles/L,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.102,Mineral Water.3,Czeck Republic,Mineral water from glass bottles,Nov 2017-Jan 2018,50 particles/L,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.102,Mineral Water.4,Czeck Republic,Mineral water from beverage cartons,Nov 2017-Jan 2018,11 particles/L,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.102,Mineral Water.5,Czeck Republic,Mineral water from single use PET bottles,Nov 2017-Jan 2018,2649 particles/L,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.102,Mineral Water.6,Czeck Republic,Mineral water from reusable PET bottles,Nov 2017-Jan 2018,4889 particles/L,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.102,Mineral Water.7,Czeck Republic,Mineral water from glass bottles,Nov 2017-Jan 2018,6292 particles/L,N/A,N/A,N/A,N/A
10.1016/j.sciotenv.2018.08.102,WTP1_Treated,Czeck Republic,Drinking water treatment plant,Nov 2017-Jan 2018,443 particles/L,PAM; PET; PP,1-5 um 25-60%; 5-10 um 30-50%; 10-50 um remaining percent,fragments; spherical; fibers,N/A
10.1016/j.sciotenv.2018.08.102,WTP2_Treated,Czeck Republic,Drinking water treatment plant,Nov 2017-Jan 2018,338 particles/L,PAM; PET; PP; PVC,1-5 um 25-60%; 5-10 um 30-50%; 10-50 um remaining percent,fragments; spherical; fibers,N/A
10.1016/j.sciotenv.2018.08.102,WTP3_Treated,Czeck Republic,Drinking water treatment plant,Nov 2017-Jan 2018,628 particles/L,PAM; PE; PET; PP,1-5 um 25-60%; 5-10 um 30-50%; 10-50 um remaining percent,fragments; spherical; fibers,N/A
http://dce2.au.dk/pub/SR291.pdf ,1a.http://dce2.au.dk/pub/SR291.pdf ,Knabrostræde (1210 Kbh. K) ,Tap water,4/11/2018,29 particles/50 L,Cellulose 31%,N/A,fibers 86%; fragments 10%; films 3%,N/A
http://dce2.au.dk/pub/SR291.pdf ,1b.http://dce2.au.dk/pub/SR291.pdf ,Knabrostræde (1210 Kbh. K) ,Tap water,6/1/2018,18 particles/50 L,Cellulose 28%,N/A,fibers 72%; fragments 28%,N/A
http://dce2.au.dk/pub/SR291.pdf ,2.http://dce2.au.dk/pub/SR291.pdf ,Eriksgade (1708 Kbh. V) ,Tap water,4/11/2018,16 particles/50 L,Cellulose 56%,N/A,fibers 78%; fragments 6%; films 6%,N/A
http://dce2.au.dk/pub/SR291.pdf ,3.http://dce2.au.dk/pub/SR291.pdf ,Blegdamsvej (2200 Kbh N) ,Tap water,5/2/2018,12 particles/50 L,Cellulose 42%,N/A,fibers 100%,N/A
http://dce2.au.dk/pub/SR291.pdf ,4.http://dce2.au.dk/pub/SR291.pdf ,Ernie Wilkins Vej (2450 Kbh S.) ,Tap water,5/2/2018,13 particles/50 L,Cellulose 23%,N/A,fibers 62%; fragments 7%; films 31%,N/A
http://dce2.au.dk/pub/SR291.pdf ,5.http://dce2.au.dk/pub/SR291.pdf ,Saunte Bygade (3100 Hornbæk) ,Tap water,4/4/2018,7 particles/50 L,Cellulose 57%,N/A,fibers 86%; fragments 14%,N/A
http://dce2.au.dk/pub/SR291.pdf ,6.http://dce2.au.dk/pub/SR291.pdf ,Kolibrivej (4040 Jyllinge) ,Tap water,5/28/2018,11 particles/50 L,Cellulose 18%,N/A,fibers 90%; fragments 10%,N/A
http://dce2.au.dk/pub/SR291.pdf ,7.http://dce2.au.dk/pub/SR291.pdf ,Østre Alle? (4800 Nykøbing F) ,Tap water,6/8/2018,10 particles/50 L,PP 10%; Cellulose 70%,N/A,fibers 100%,N/A
http://dce2.au.dk/pub/SR291.pdf ,8.http://dce2.au.dk/pub/SR291.pdf ,Ore Strandpark (4850 Stubbekøbing) ,Tap water,6/8/2018,30 particles/ 50 L,PS 3%; Cellulose 13%,N/A,fibers 67%; fragments 23%; films 10%,N/A
http://dce2.au.dk/pub/SR291.pdf ,9.http://dce2.au.dk/pub/SR291.pdf ,Villestofteheg-net (5210 Odense NV) ,Tap water,5/26/2018,12 particles/ 50 L,Cellulose 33%,N/A,fibers 84%; fragments 8%; films 8%,N/A
http://dce2.au.dk/pub/SR291.pdf ,10.http://dce2.au.dk/pub/SR291.pdf ,Lindehaven (5270 Odense) ,Tap water,5/26/2018,13 particles/ 50 L,Cellulose 54%,N/A,fibers 100%,N/A
http://dce2.au.dk/pub/SR291.pdf ,11.http://dce2.au.dk/pub/SR291.pdf ,Dagmargade 6000 Odense C) ,Tap water,5/26/2018,11 particles/ 50 L,Cellulose 55%,N/A,fibers 100%,N/A
http://dce2.au.dk/pub/SR291.pdf ,12.http://dce2.au.dk/pub/SR291.pdf ,Hjelmalle? (6200 Aabenra?) ,Tap water,4/19/2018,27 particles/ 50 L,Cellulose 30%,N/A,fibers 74%; fragments 26%,N/A
http://dce2.au.dk/pub/SR291.pdf ,13.http://dce2.au.dk/pub/SR291.pdf ,Lundsbjerg Industrivej (6200 Aabenra?) ,Tap water,4/19/2018,9 particles/ 50 L,Cellulose 33%,N/A,fibers 100%,N/A
http://dce2.au.dk/pub/SR291.pdf ,14.http://dce2.au.dk/pub/SR291.pdf ,Kværsløkke (6300 Gråsten),Tap water,4/19/2018,4 particles/ 50 L,Cellulose 100%,N/A,fibers 100%,N/A
http://dce2.au.dk/pub/SR291.pdf ,15.http://dce2.au.dk/pub/SR291.pdf ,Aavangen (9575 Terndrup) ,Tap water,5/16/2018,19 particles/ 50 L,PP 5%; Cellulose 21%,N/A,fibers 74%; fragments 26%,N/A
http://dce2.au.dk/pub/SR291.pdf ,16.http://dce2.au.dk/pub/SR291.pdf ,Gunnar Clausens vej (8260 Viby J.) ,Tap water,5/16/2018,17 particles/ 50 L,PET 5%; Cellulose 35%,N/A,fibers 70%; fragments 30%,N/A
